Randomizer Version: 4.4.0
Random Seed: 191563861191468
Settings String: 318WRIEEjIAAAMABgCRAAKeBnsECQEAFAACCQAuEgAAAAAABRi45ATkAYYICTIGBAIyAAIQRmlyZSBSZWQgKFUpIDEuMZoolK7jwziK

--Patching for National Dex at Start of Game--
Patch successful!

--Randomized Evolutions--
BULBASAUR       -> NIDORINA       
138 OMANYTE       |TM01 HEADBUTT |TM02 TRI ATTACK |        - |TM04 PAY DAY |                - |TM06 VICEGRIP |TM07 OCTAZOOKA |             - |TM09 DIZZY PUNCH |           - |TM11 STRING SHOT |TM12 GLARE |        - |                - |TM15 DOUBLE TEAM |TM16 FAINT ATTACK |TM17 SKETCH |TM18 PAIN SPLIT |           - |TM20 SAND-ATTACK |               - |               - |TM23 ABSORB |           - |TM25 FRUSTRATION |TM26 FIRE BLAST |           - |TM28 KARATE CHOP |              - |          - |TM31 ERUPTION |              - |            - |TM34 STUN SPORE |                - |               - |              - |            - |TM39 DIG |               - |                - |             - |                - |             - |TM45 SUPER FANG |                - |             - |           - |TM49 ODOR SLEUTH |          - |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
139 OMASTAR       |            - |TM02 TRI ATTACK |TM03 WISH |           - |                - |            - |TM07 OCTAZOOKA |TM08 SANDSTORM |               - |           - |TM11 STRING SHOT |TM12 GLARE |        - |TM14 EXTRASENSORY |               - |                - |TM17 SKETCH |TM18 PAIN SPLIT |           - |               - |               - |TM22 LOVELY KISS |TM23 ABSORB |TM24 SCREECH |TM25 FRUSTRATION |TM26 FIRE BLAST |TM27 PROTECT |TM28 KARATE CHOP |              - |          - |            - |              - |TM33 WITHDRAW |              - |                - |TM36 WATER SPOUT |              - |TM38 ICE BALL |       - |               - |TM41 IRON DEFENSE |             - |                - |             - |              - |                - |TM47 METRONOME |           - |               - |          - |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
140 KABUTO        |            - |TM02 TRI ATTACK |TM03 WISH |           - |                - |TM06 VICEGRIP |             - |             - |               - |TM10 LOCK-ON |               - |         - |        - |TM14 EXTRASENSORY |TM15 DOUBLE TEAM |TM16 FAINT ATTACK |TM17 SKETCH |TM18 PAIN SPLIT |TM19 THUNDER |TM20 SAND-ATTACK |TM21 WATER SPORT |TM22 LOVELY KISS |TM23 ABSORB |TM24 SCREECH |TM25 FRUSTRATION |TM26 FIRE BLAST |TM27 PROTECT |               - |TM29 BLAST BURN |TM30 CHARGE |TM31 ERUPTION |TM32 HYDRO PUMP |            - |TM34 STUN SPORE |                - |               - |              - |TM38 ICE BALL |       - |               - |                - |TM42 MUD SPORT |                - |             - |TM45 SUPER FANG |TM46 DRAGONBREATH |             - |TM48 PSYBEAM |TM49 ODOR SLEUTH |          - |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
141 KABUTOPS      |            - |TM02 TRI ATTACK |        - |           - |TM05 ANCIENTPOWER |TM06 VICEGRIP |TM07 OCTAZOOKA |TM08 SANDSTORM |TM09 DIZZY PUNCH |TM10 LOCK-ON |               - |         - |TM13 WRAP |                - |               - |TM16 FAINT ATTACK |TM17 SKETCH |              - |           - |TM20 SAND-ATTACK |TM21 WATER SPORT |TM22 LOVELY KISS |          - |TM24 SCREECH |TM25 FRUSTRATION |              - |TM27 PROTECT |TM28 KARATE CHOP |              - |          - |            - |TM32 HYDRO PUMP |            - |              - |TM35 DYNAMICPUNCH |               - |TM37 HYPER FANG |TM38 ICE BALL |       - |TM40 BRICK BREAK |                - |TM42 MUD SPORT |                - |             - |              - |                - |             - |TM48 PSYBEAM |               - |          - |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
142 AERODACTYL    |TM01 HEADBUTT |              - |        - |           - |                - |            - |TM07 OCTAZOOKA |             - |               - |           - |TM11 STRING SHOT |TM12 GLARE |TM13 WRAP |                - |TM15 DOUBLE TEAM |TM16 FAINT ATTACK |TM17 SKETCH |TM18 PAIN SPLIT |TM19 THUNDER |TM20 SAND-ATTACK |               - |TM22 LOVELY KISS |          - |TM24 SCREECH |               - |TM26 FIRE BLAST |           - |TM28 KARATE CHOP |              - |TM30 CHARGE |            - |              - |            - |TM34 STUN SPORE |TM35 DYNAMICPUNCH |TM36 WATER SPOUT |TM37 HYPER FANG |TM38 ICE BALL |       - |TM40 BRICK BREAK |                - |TM42 MUD SPORT |TM43 LIGHT SCREEN |             - |              - |TM46 DRAGONBREATH |             - |           - |TM49 ODOR SLEUTH |TM50 SPLASH |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
143 SNORLAX       |            - |TM02 TRI ATTACK |        - |TM04 PAY DAY |                - |            - |TM07 OCTAZOOKA |TM08 SANDSTORM |TM09 DIZZY PUNCH |TM10 LOCK-ON |TM11 STRING SHOT |         - |TM13 WRAP |                - |               - |TM16 FAINT ATTACK |          - |TM18 PAIN SPLIT |TM19 THUNDER |               - |TM21 WATER SPORT |               - |          - |TM24 SCREECH |               - |TM26 FIRE BLAST |TM27 PROTECT |TM28 KARATE CHOP |              - |          - |TM31 ERUPTION |              - |            - |TM34 STUN SPORE |                - |TM36 WATER SPOUT |TM37 HYPER FANG |            - |TM39 DIG |               - |TM41 IRON DEFENSE |TM42 MUD SPORT |                - |             - |              - |                - |TM47 METRONOME |TM48 PSYBEAM |               - |TM50 SPLASH |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
144 ARTICUNO      |            - |              - |TM03 WISH |TM04 PAY DAY |                - |TM06 VICEGRIP |             - |TM08 SANDSTORM |               - |TM10 LOCK-ON |TM11 STRING SHOT |TM12 GLARE |TM13 WRAP |TM14 EXTRASENSORY |               - |TM16 FAINT ATTACK |TM17 SKETCH |TM18 PAIN SPLIT |TM19 THUNDER |               - |TM21 WATER SPORT |               - |          - |TM24 SCREECH |               - |              - |TM27 PROTECT |               - |TM29 BLAST BURN |          - |            - |              - |            - |              - |                - |TM36 WATER SPOUT |              - |TM38 ICE BALL |       - |               - |                - |             - |TM43 LIGHT SCREEN |TM44 HEAL BELL |TM45 SUPER FANG |                - |             - |TM48 PSYBEAM |               - |          - |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
145 ZAPDOS        |TM01 HEADBUTT |              - |TM03 WISH |           - |                - |            - |TM07 OCTAZOOKA |TM08 SANDSTORM |TM09 DIZZY PUNCH |           - |TM11 STRING SHOT |TM12 GLARE |TM13 WRAP |TM14 EXTRASENSORY |               - |                - |          - |              - |TM19 THUNDER |               - |TM21 WATER SPORT |TM22 LOVELY KISS |          - |           - |TM25 FRUSTRATION |              - |TM27 PROTECT |TM28 KARATE CHOP |TM29 BLAST BURN |TM30 CHARGE |TM31 ERUPTION |              - |            - |              - |TM35 DYNAMICPUNCH |               - |              - |TM38 ICE BALL |       - |TM40 BRICK BREAK |                - |TM42 MUD SPORT |TM43 LIGHT SCREEN |             - |              - |                - |TM47 METRONOME |           - |TM49 ODOR SLEUTH |          - |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
146 MOLTRES       |TM01 HEADBUTT |              - |        - |           - |TM05 ANCIENTPOWER |            - |TM07 OCTAZOOKA |TM08 SANDSTORM |               - |           - |               - |TM12 GLARE |        - |                - |               - |TM16 FAINT ATTACK |TM17 SKETCH |              - |           - |               - |TM21 WATER SPORT |TM22 LOVELY KISS |TM23 ABSORB |TM24 SCREECH |TM25 FRUSTRATION |              - |           - |               - |TM29 BLAST BURN |TM30 CHARGE |TM31 ERUPTION |              - |TM33 WITHDRAW |              - |                - |               - |TM37 HYPER FANG |TM38 ICE BALL |       - |               - |TM41 IRON DEFENSE |TM42 MUD SPORT |TM43 LIGHT SCREEN |             - |              - |                - |TM47 METRONOME |TM48 PSYBEAM |               - |          - |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
147 DRATINI       |            - |              - |TM03 WISH |           - |                - |            - |TM07 OCTAZOOKA |             - |TM09 DIZZY PUNCH |TM10 LOCK-ON |TM11 STRING SHOT |         - |TM13 WRAP |                - |TM15 DOUBLE TEAM |TM16 FAINT ATTACK |          - |              - |           - |               - |               - |               - |TM23 ABSORB |           - |TM25 FRUSTRATION |              - |TM27 PROTECT |TM28 KARATE CHOP |              - |TM30 CHARGE |            - |TM32 HYDRO PUMP |TM33 WITHDRAW |              - |                - |               - |TM37 HYPER FANG |TM38 ICE BALL |       - |TM40 BRICK BREAK |TM41 IRON DEFENSE |TM42 MUD SPORT |TM43 LIGHT SCREEN |             - |              - |TM46 DRAGONBREATH |TM47 METRONOME |TM48 PSYBEAM |TM49 ODOR SLEUTH |TM50 SPLASH |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
148 DRAGONAIR     |TM01 HEADBUTT |              - |TM03 WISH |           - |                - |TM06 VICEGRIP |TM07 OCTAZOOKA |             - |TM09 DIZZY PUNCH |TM10 LOCK-ON |TM11 STRING SHOT |         - |        - |                - |               - |TM16 FAINT ATTACK |          - |TM18 PAIN SPLIT |TM19 THUNDER |TM20 SAND-ATTACK |               - |TM22 LOVELY KISS |TM23 ABSORB |TM24 SCREECH |TM25 FRUSTRATION |TM26 FIRE BLAST |           - |               - |TM29 BLAST BURN |TM30 CHARGE |            - |TM32 HYDRO PUMP |TM33 WITHDRAW |              - |TM35 DYNAMICPUNCH |TM36 WATER SPOUT |              - |            - |       - |               - |                - |TM42 MUD SPORT |TM43 LIGHT SCREEN |TM44 HEAL BELL |TM45 SUPER FANG |TM46 DRAGONBREATH |TM47 METRONOME |TM48 PSYBEAM |TM49 ODOR SLEUTH |TM50 SPLASH |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
149 DRAGONITE     |TM01 HEADBUTT |              - |TM03 WISH |TM04 PAY DAY |                - |TM06 VICEGRIP |             - |TM08 SANDSTORM |               - |TM10 LOCK-ON |TM11 STRING SHOT |TM12 GLARE |TM13 WRAP |TM14 EXTRASENSORY |TM15 DOUBLE TEAM |                - |          - |              - |           - |               - |               - |TM22 LOVELY KISS |          - |           - |               - |TM26 FIRE BLAST |TM27 PROTECT |               - |TM29 BLAST BURN |TM30 CHARGE |            - |TM32 HYDRO PUMP |TM33 WITHDRAW |TM34 STUN SPORE |TM35 DYNAMICPUNCH |               - |              - |TM38 ICE BALL |TM39 DIG |TM40 BRICK BREAK |                - |TM42 MUD SPORT |                - |             - |TM45 SUPER FANG |TM46 DRAGONBREATH |TM47 METRONOME |TM48 PSYBEAM |               - |          - |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
150 MEWTWO        |            - |TM02 TRI ATTACK |        - |           - |TM05 ANCIENTPOWER |            - |             - |TM08 SANDSTORM |TM09 DIZZY PUNCH |TM10 LOCK-ON |TM11 STRING SHOT |TM12 GLARE |TM13 WRAP |TM14 EXTRASENSORY |               - |                - |TM17 SKETCH |TM18 PAIN SPLIT |           - |               - |TM21 WATER SPORT |               - |          - |           - |               - |              - |TM27 PROTECT |TM28 KARATE CHOP |              - |TM30 CHARGE |TM31 ERUPTION |TM32 HYDRO PUMP |TM33 WITHDRAW |              - |                - |               - |              - |            - |TM39 DIG |               - |TM41 IRON DEFENSE |TM42 MUD SPORT |TM43 LIGHT SCREEN |TM44 HEAL BELL |              - |TM46 DRAGONBREATH |TM47 METRONOME |           - |TM49 ODOR SLEUTH |TM50 SPLASH |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
151 MEW           |TM01 HEADBUTT |TM02 TRI ATTACK |        - |TM04 PAY DAY |TM05 ANCIENTPOWER |TM06 VICEGRIP |             - |TM08 SANDSTORM |TM09 DIZZY PUNCH |TM10 LOCK-ON |               - |         - |        - |                - |TM15 DOUBLE TEAM |                - |          - |TM18 PAIN SPLIT |TM19 THUNDER |TM20 SAND-ATTACK |TM21 WATER SPORT |               - |          - |           - |TM25 FRUSTRATION |TM26 FIRE BLAST |           - |TM28 KARATE CHOP |TM29 BLAST BURN |TM30 CHARGE |TM31 ERUPTION |              - |            - |TM34 STUN SPORE |TM35 DYNAMICPUNCH |               - |              - |            - |TM39 DIG |               - |TM41 IRON DEFENSE |             - |                - |             - |              - |                - |TM47 METRONOME |           - |               - |TM50 SPLASH |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
152 CHIKORITA     |TM01 HEADBUTT |              - |TM03 WISH |           - |                - |            - |             - |             - |               - |           - |               - |TM12 GLARE |TM13 WRAP |                - |TM15 DOUBLE TEAM |                - |          - |TM18 PAIN SPLIT |TM19 THUNDER |               - |TM21 WATER SPORT |TM22 LOVELY KISS |          - |           - |               - |              - |           - |TM28 KARATE CHOP |              - |          - |            - |              - |            - |TM34 STUN SPORE |                - |TM36 WATER SPOUT |              - |            - |       - |               - |                - |TM42 MUD SPORT |                - |             - |              - |TM46 DRAGONBREATH |             - |           - |               - |TM50 SPLASH |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
153 BAYLEEF       |TM01 HEADBUTT |              - |TM03 WISH |           - |TM05 ANCIENTPOWER |TM06 VICEGRIP |TM07 OCTAZOOKA |             - |TM09 DIZZY PUNCH |TM10 LOCK-ON |               - |         - |        - |TM14 EXTRASENSORY |               - |TM16 FAINT ATTACK |TM17 SKETCH |              - |TM19 THUNDER |               - |               - |               - |TM23 ABSORB |           - |TM25 FRUSTRATION |TM26 FIRE BLAST |           - |TM28 KARATE CHOP |              - |TM30 CHARGE |            - |TM32 HYDRO PUMP |TM33 WITHDRAW |TM34 STUN SPORE |                - |TM36 WATER SPOUT |TM37 HYPER FANG |TM38 ICE BALL |TM39 DIG |TM40 BRICK BREAK |                - |             - |TM43 LIGHT SCREEN |TM44 HEAL BELL |TM45 SUPER FANG |                - |TM47 METRONOME |TM48 PSYBEAM |               - |TM50 SPLASH |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
154 MEGANIUM      |            - |              - |TM03 WISH |TM04 PAY DAY |TM05 ANCIENTPOWER |            - |             - |TM08 SANDSTORM |               - |TM10 LOCK-ON |               - |TM12 GLARE |        - |TM14 EXTRASENSORY |TM15 DOUBLE TEAM |                - |TM17 SKETCH |              - |           - |TM20 SAND-ATTACK |TM21 WATER SPORT |TM22 LOVELY KISS |          - |TM24 SCREECH |               - |              - |           - |               - |TM29 BLAST BURN |TM30 CHARGE |TM31 ERUPTION |              - |TM33 WITHDRAW |              - |TM35 DYNAMICPUNCH |               - |TM37 HYPER FANG |TM38 ICE BALL |TM39 DIG |               - |                - |TM42 MUD SPORT |                - |TM44 HEAL BELL |TM45 SUPER FANG |                - |TM47 METRONOME |           - |               - |          - |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
155 CYNDAQUIL     |            - |              - |        - |TM04 PAY DAY |TM05 ANCIENTPOWER |TM06 VICEGRIP |             - |             - |               - |           - |TM11 STRING SHOT |TM12 GLARE |        - |                - |TM15 DOUBLE TEAM |TM16 FAINT ATTACK |          - |              - |           - |               - |TM21 WATER SPORT |               - |TM23 ABSORB |           - |TM25 FRUSTRATION |TM26 FIRE BLAST |TM27 PROTECT |               - |TM29 BLAST BURN |          - |            - |TM32 HYDRO PUMP |TM33 WITHDRAW |TM34 STUN SPORE |TM35 DYNAMICPUNCH |               - |              - |            - |TM39 DIG |TM40 BRICK BREAK |TM41 IRON DEFENSE |TM42 MUD SPORT |TM43 LIGHT SCREEN |             - |              - |TM46 DRAGONBREATH |             - |TM48 PSYBEAM |               - |          - |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
156 QUILAVA       |TM01 HEADBUTT |TM02 TRI ATTACK |        - |           - |                - |TM06 VICEGRIP |             - |TM08 SANDSTORM |TM09 DIZZY PUNCH |TM10 LOCK-ON |               - |TM12 GLARE |        - |                - |               - |TM16 FAINT ATTACK |          - |TM18 PAIN SPLIT |           - |               - |               - |TM22 LOVELY KISS |TM23 ABSORB |           - |TM25 FRUSTRATION |TM26 FIRE BLAST |TM27 PROTECT |TM28 KARATE CHOP |              - |          - |            - |TM32 HYDRO PUMP |TM33 WITHDRAW |              - |                - |               - |TM37 HYPER FANG |TM38 ICE BALL |TM39 DIG |TM40 BRICK BREAK |                - |             - |                - |             - |              - |TM46 DRAGONBREATH |TM47 METRONOME |           - |               - |          - |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
157 TYPHLOSION    |            - |TM02 TRI ATTACK |TM03 WISH |           - |TM05 ANCIENTPOWER |TM06 VICEGRIP |TM07 OCTAZOOKA |TM08 SANDSTORM |               - |TM10 LOCK-ON |TM11 STRING SHOT |         - |        - |                - |               - |TM16 FAINT ATTACK |TM17 SKETCH |              - |           - |               - |TM21 WATER SPORT |               - |          - |TM24 SCREECH |TM25 FRUSTRATION |              - |TM27 PROTECT |TM28 KARATE CHOP |              - |TM30 CHARGE |            - |              - |            - |TM34 STUN SPORE |TM35 DYNAMICPUNCH |               - |              - |            - |       - |TM40 BRICK BREAK |                - |             - |TM43 LIGHT SCREEN |TM44 HEAL BELL |              - |                - |             - |           - |TM49 ODOR SLEUTH |TM50 SPLASH |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
158 TOTODILE      |TM01 HEADBUTT |              - |        - |TM04 PAY DAY |TM05 ANCIENTPOWER |            - |             - |TM08 SANDSTORM |TM09 DIZZY PUNCH |           - |TM11 STRING SHOT |         - |TM13 WRAP |                - |               - |TM16 FAINT ATTACK |          - |TM18 PAIN SPLIT |           - |TM20 SAND-ATTACK |               - |TM22 LOVELY KISS |TM23 ABSORB |TM24 SCREECH |TM25 FRUSTRATION |              - |           - |               - |TM29 BLAST BURN |TM30 CHARGE |            - |TM32 HYDRO PUMP |            - |TM34 STUN SPORE |                - |               - |              - |            - |TM39 DIG |TM40 BRICK BREAK |                - |TM42 MUD SPORT |TM43 LIGHT SCREEN |             - |              - |TM46 DRAGONBREATH |             - |           - |TM49 ODOR SLEUTH |          - |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
159 CROCONAW      |TM01 HEADBUTT |TM02 TRI ATTACK |TM03 WISH |TM04 PAY DAY |                - |TM06 VICEGRIP |             - |TM08 SANDSTORM |TM09 DIZZY PUNCH |TM10 LOCK-ON |TM11 STRING SHOT |         - |TM13 WRAP |TM14 EXTRASENSORY |TM15 DOUBLE TEAM |TM16 FAINT ATTACK |          - |              - |TM19 THUNDER |               - |TM21 WATER SPORT |TM22 LOVELY KISS |TM23 ABSORB |TM24 SCREECH |               - |              - |           - |               - |              - |          - |            - |              - |TM33 WITHDRAW |              - |TM35 DYNAMICPUNCH |TM36 WATER SPOUT |              - |            - |TM39 DIG |               - |                - |TM42 MUD SPORT |                - |TM44 HEAL BELL |TM45 SUPER FANG |TM46 DRAGONBREATH |TM47 METRONOME |TM48 PSYBEAM |TM49 ODOR SLEUTH |TM50 SPLASH |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
160 FERALIGATR    |TM01 HEADBUTT |              - |TM03 WISH |TM04 PAY DAY |TM05 ANCIENTPOWER |            - |TM07 OCTAZOOKA |TM08 SANDSTORM |TM09 DIZZY PUNCH |TM10 LOCK-ON |               - |         - |        - |TM14 EXTRASENSORY |               - |TM16 FAINT ATTACK |TM17 SKETCH |              - |TM19 THUNDER |TM20 SAND-ATTACK |TM21 WATER SPORT |               - |TM23 ABSORB |           - |               - |TM26 FIRE BLAST |           - |               - |              - |          - |            - |TM32 HYDRO PUMP |            - |              - |                - |               - |TM37 HYPER FANG |TM38 ICE BALL |TM39 DIG |TM40 BRICK BREAK |TM41 IRON DEFENSE |             - |TM43 LIGHT SCREEN |TM44 HEAL BELL |TM45 SUPER FANG |TM46 DRAGONBREATH |             - |           - |TM49 ODOR SLEUTH |          - |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
161 SENTRET       |            - |              - |TM03 WISH |           - |TM05 ANCIENTPOWER |TM06 VICEGRIP |TM07 OCTAZOOKA |             - |TM09 DIZZY PUNCH |           - |TM11 STRING SHOT |         - |        - |TM14 EXTRASENSORY |TM15 DOUBLE TEAM |TM16 FAINT ATTACK |          - |TM18 PAIN SPLIT |           - |TM20 SAND-ATTACK |               - |TM22 LOVELY KISS |TM23 ABSORB |TM24 SCREECH |               - |              - |           - |               - |              - |TM30 CHARGE |            - |              - |TM33 WITHDRAW |              - |                - |               - |TM37 HYPER FANG |            - |TM39 DIG |               - |TM41 IRON DEFENSE |             - |                - |             - |              - |TM46 DRAGONBREATH |             - |           - |               - |TM50 SPLASH |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
162 FURRET        |            - |              - |TM03 WISH |TM04 PAY DAY |TM05 ANCIENTPOWER |TM06 VICEGRIP |             - |             - |               - |TM10 LOCK-ON |               - |TM12 GLARE |TM13 WRAP |                - |               - |                - |          - |TM18 PAIN SPLIT |           - |               - |               - |TM22 LOVELY KISS |TM23 ABSORB |           - |TM25 FRUSTRATION |              - |           - |TM28 KARATE CHOP |              - |TM30 CHARGE |TM31 ERUPTION |TM32 HYDRO PUMP |            - |              - |                - |               - |TM37 HYPER FANG |TM38 ICE BALL |       - |               - |                - |TM42 MUD SPORT |TM43 LIGHT SCREEN |TM44 HEAL BELL |TM45 SUPER FANG |                - |             - |           - |               - |TM50 SPLASH |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
163 HOOTHOOT      |            - |              - |TM03 WISH |           - |TM05 ANCIENTPOWER |            - |             - |             - |TM09 DIZZY PUNCH |TM10 LOCK-ON |               - |         - |TM13 WRAP |TM14 EXTRASENSORY |               - |TM16 FAINT ATTACK |          - |TM18 PAIN SPLIT |           - |               - |TM21 WATER SPORT |               - |TM23 ABSORB |           - |               - |TM26 FIRE BLAST |TM27 PROTECT |TM28 KARATE CHOP |TM29 BLAST BURN |TM30 CHARGE |            - |TM32 HYDRO PUMP |TM33 WITHDRAW |TM34 STUN SPORE |TM35 DYNAMICPUNCH |               - |TM37 HYPER FANG |            - |       - |               - |TM41 IRON DEFENSE |TM42 MUD SPORT |                - |             - |              - |                - |TM47 METRONOME |           - |               - |          - |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
164 NOCTOWL       |TM01 HEADBUTT |TM02 TRI ATTACK |TM03 WISH |TM04 PAY DAY |                - |            - |             - |             - |TM09 DIZZY PUNCH |TM10 LOCK-ON |               - |         - |        - |                - |               - |                - |TM17 SKETCH |TM18 PAIN SPLIT |TM19 THUNDER |               - |               - |TM22 LOVELY KISS |TM23 ABSORB |           - |TM25 FRUSTRATION |TM26 FIRE BLAST |TM27 PROTECT |TM28 KARATE CHOP |              - |TM30 CHARGE |TM31 ERUPTION |TM32 HYDRO PUMP |TM33 WITHDRAW |              - |                - |TM36 WATER SPOUT |TM37 HYPER FANG |            - |       - |               - |TM41 IRON DEFENSE |TM42 MUD SPORT |TM43 LIGHT SCREEN |             - |TM45 SUPER FANG |                - |TM47 METRONOME |TM48 PSYBEAM |               - |TM50 SPLASH |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
165 LEDYBA        |            - |              - |        - |TM04 PAY DAY |                - |            - |TM07 OCTAZOOKA |TM08 SANDSTORM |               - |           - |               - |TM12 GLARE |TM13 WRAP |TM14 EXTRASENSORY |TM15 DOUBLE TEAM |TM16 FAINT ATTACK |TM17 SKETCH |              - |TM19 THUNDER |TM20 SAND-ATTACK |               - |TM22 LOVELY KISS |          - |           - |TM25 FRUSTRATION |              - |           - |TM28 KARATE CHOP |              - |TM30 CHARGE |            - |TM32 HYDRO PUMP |TM33 WITHDRAW |              - |                - |               - |TM37 HYPER FANG |            - |TM39 DIG |TM40 BRICK BREAK |TM41 IRON DEFENSE |TM42 MUD SPORT |                - |             - |TM45 SUPER FANG |TM46 DRAGONBREATH |             - |           - |               - |          - |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
166 LEDIAN        |TM01 HEADBUTT |TM02 TRI ATTACK |        - |           - |TM05 ANCIENTPOWER |TM06 VICEGRIP |TM07 OCTAZOOKA |TM08 SANDSTORM |               - |           - |               - |         - |        - |                - |TM15 DOUBLE TEAM |                - |          - |TM18 PAIN SPLIT |TM19 THUNDER |TM20 SAND-ATTACK |TM21 WATER SPORT |TM22 LOVELY KISS |          - |           - |               - |              - |           - |TM28 KARATE CHOP |              - |TM30 CHARGE |            - |TM32 HYDRO PUMP |TM33 WITHDRAW |              - |                - |               - |              - |            - |TM39 DIG |               - |TM41 IRON DEFENSE |TM42 MUD SPORT |TM43 LIGHT SCREEN |TM44 HEAL BELL |TM45 SUPER FANG |                - |TM47 METRONOME |TM48 PSYBEAM |TM49 ODOR SLEUTH |          - |HM01 CUT |HM02 FLY |HM03 SURF |HM04 STRENGTH |HM05 FLASH |HM06 ROCK SMASH |HM07 WATERFALL |HM08 DIVE |
